rank,name,score,num,dir,act,type,year,city,qu
121,喜剧之王,8.5,335438人评价,周星驰,"/,李力持,Lik-Chi,Lee,主演:,周星驰,Stephen,Ch...",爱情,1999,香港,我是一个演员。
122,神偷奶爸,8.5,399796人评价,皮艾尔·柯芬,"/,克里斯·雷纳德,Chris,Renaud,主演:,...",冒险,2010,美国,Mr. I Don't Care其实也有Care的时候。
123,七武士,9.2,81122人评价,黑泽明,"主演:,三船敏郎,Toshirô,Mifune,/,志村乔,...",剧情,1954,日本,时代悲歌。
124,杀人回忆,8.7,219961人评价,奉俊昊,"主演:,宋康昊,Kang-ho,Song,/,金相庆,Sang-kyun...",惊悚,2003,韩国,关于连环杀人悬案的集体回忆。
125,海洋,9,101888人评价,雅克·贝汉,"/,雅克·克鲁奥德,Jacques,Cluzaud,主演:...",纪录片,2009,法国,大海啊，不全是水。
126,真爱至上,8.5,329220人评价,理查德·柯蒂斯,"主演:,休·格兰特,Hugh,Grant,/,柯林...",爱情,2003,英国,爱，是个动词。
127,电锯惊魂,8.7,208452人评价,詹姆斯·温,"主演:,雷·沃纳尔,Leigh,Whannell,/,加利·艾...",恐怖,2004,美国,真相就在眼前。
128,贫民窟的百万富翁,8.5,411499人评价,丹尼·鲍尔,"/,洛芙琳·坦丹,Loveleen,Tandan,主演:,戴夫...",爱情,2008,英国,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
129,谍影重重3,8.7,189200人评价,保罗·格林格拉斯,"主演:,马特·达蒙,Matt,Damon,/,...",惊悚,2007,美国,像吃了苏打饼一样干脆的电影。
130,喜宴,8.8,147564人评价,李安,"主演:,赵文瑄,Winston,Chao,/,郎雄,Sihung,Lung,/,归亚...",家庭,1993,台湾,中国家庭的喜怒哀乐忍。
131,雨人,8.6,218572人评价,巴瑞·莱文森,"主演:,达斯汀·霍夫曼,Dustin,Hoffman,...",剧情,1988,美国,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
132,记忆碎片,8.5,292516人评价,克里斯托弗·诺兰,"主演:,盖·皮尔斯,Guy,Pearce,/...",惊悚,2000,美国,一个针管引发的血案。
133,东邪西毒,8.6,263026人评价,王家卫,"Wong,主演:,张国荣,Leslie,Cheung,/,张曼玉,Maggie,C...",古装,1994,香港,电影诗。
134,怪兽电力公司,8.6,254299人评价,彼特·道格特,"/,大卫·斯沃曼,David,Silverman,主演:,约...",奇幻,2001,美国,不要给它起名字，起了名字就有感情了。
135,疯狂原始人,8.7,387215人评价,科克·德·米科,"Micco,/,克里斯·桑德斯,Chris,Sanders,主演...",冒险,2013,美国,老少皆宜，这就是好莱坞动画的魅力。
136,黑天鹅,8.5,435835人评价,达伦·阿罗诺夫斯基,"主演:,娜塔莉·波特曼,Natalie...",惊悚,2010,美国,黑暗之美。
137,英雄本色,8.7,176094人评价,吴宇森,"主演:,周润发,Yun-Fat,Chow,/,狄龙,Lung,Ti,/,张国...",犯罪,1986,香港,英雄泪短，兄弟情长。 
138,燃情岁月,8.7,153533人评价,爱德华·兹威克,"主演:,安东尼·霍普金斯,Anthony,Hopki...",家庭,1994,美国,传奇，不是每个人都可以拥有。
139,虎口脱险,8.9,111337人评价,杰拉尔·乌里,"主演:,路易·德·菲耐斯,Louis,de,Funès...",战争,1966,法国,永远看不腻的喜剧。
140,卢旺达饭店,8.8,125641人评价,特瑞·乔治,"主演:,唐·钱德尔,Don,Cheadle,/,苏菲·奥...",战争,2004,英国,当这个世界闭上双眼，他却敞开了怀抱。
141,恋恋笔记本,8.5,296702人评价,尼克·卡索维茨,"主演:,瑞恩·高斯林,Ryan,Gosling,/...",爱情,2004,美国,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
142,傲慢与偏见,8.4,316995人评价,乔·怀特,"主演:,凯拉·奈特莉,Keira,Knightley,/,马修·...",爱情,2005,法国,爱是摈弃傲慢与偏见之后的曙光。
143,7号房的礼物,8.7,185967人评价,李焕庆,"主演:,柳承龙,Seung-yong,Ryoo,/,朴信惠,Shi...",家庭,2013,韩国,《我是山姆》的《美丽人生》。
144,海边的曼彻斯特,8.6,203519人评价,肯尼斯·罗纳根,"主演:,卡西·阿弗莱克,Casey,Affle...",家庭,2016,美国,我们都有权利不与自己的过去和解。
145,哈利·波特与死亡圣器(下),8.6,286573人评价,大卫·叶茨,"主演:,丹尼尔·雷德克里夫,Daniel,Radcliffe...",冒险,2011,美国,10年的完美句点。
146,魂断蓝桥,8.8,134278人评价,Mervyn,"Vivien,Leigh,/,Robert,Taylor,/,Lucile,Watson",爱情,1940,美国,中国式内在的美国电影。
147,教父3,8.8,136923人评价,弗朗西斯·福特·科波拉,"Coppola,主演:,阿尔·帕西诺,A...",犯罪,1990,美国,任何信念的力量，都无法改变命运。
148,萤火之森,8.7,166497人评价,大森贵弘,"主演:,佐仓绫音,Ayane,Sakura,/,内山昂辉,K...",奇幻,2011,日本,触不到的恋人。
149,猜火车,8.5,257200人评价,丹尼·博伊尔,"主演:,伊万·麦克格雷格,Ewan,McGregor,/,...",剧情,1996,英国,不可猜的青春迷笛。 
150,完美的世界,9,84849人评价,克林特·伊斯特伍德,"主演:,凯文·科斯特纳,Kevin,Cos...",犯罪,1993,美国,坏人的好总是比好人的好来得更感人。
151,小森林 冬春篇,8.9,122447人评价,森淳一,"主演:,桥本爱,Ai,Hashimoto,/,三浦贵大,Takahir...",剧情,2015,日本,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
152,纵横四海,8.7,153728人评价,吴宇森,"主演:,周润发,Yun-Fat,Chow,/,张国荣,Leslie,Cheung...",犯罪,1991,香港,香港浪漫主义警匪动作片的巅峰之作。
153,穿越时空的少女,8.6,192746人评价,细田守,"主演:,仲里依纱,Riisa,Naka,/,石田卓也,Takuya...",动画,2006,日本,爱上未来的你。 
154,荒蛮故事,8.8,148464人评价,达米安·斯兹弗隆,"主演:,达里奥·葛兰帝内提,Darío...",犯罪,2014,阿根廷,始于荒诞，止于更荒诞。
155,二十二,8.8,101908人评价,郭柯,主演:,纪录片,2015,中国大陆,有一些东西不应该被遗忘。
156,玩具总动员3,8.8,199680人评价,李·昂克里奇,"主演:,汤姆·汉克斯,Tom,Hanks,/,蒂姆·艾...",冒险,2010,美国,跨度十五年的欢乐与泪水。
157,雨中曲,9,96540人评价,Stanley,"Gene,Kelly,主演:,Gene,Kelly,/,Donald,O'Connor,/,...",爱情,1952,美国,骨灰级歌舞片。
158,花样年华,8.5,257864人评价,王家卫,"Wong,主演:,梁朝伟,Tony,Leung,Chiu,Wai,/,张曼玉,Ma...",爱情,2000,香港,偷情本没有这样美。
159,唐伯虎点秋香,8.4,345627人评价,李力持,"主演:,周星驰,Stephen,Chow,/,巩俐,Li,Gong,/,陈...",古装,1993,香港,华太师是黄霑，吴镇宇四大才子之一。
160,超能陆战队,8.6,387304人评价,唐·霍尔,"/,克里斯·威廉姆斯,Chris,Williams,主演:,斯科特...",冒险,2014,美国,Balalala~~~
161,时空恋旅人,8.6,211145人评价,理查德·柯蒂斯,"主演:,多姆纳尔·格利森,Domhnall,Gl...",奇幻,2013,英国,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
162,我是山姆,8.8,108805人评价,杰茜·尼尔森,"主演:,Sean,Penn,/,Dakota,Fanning,/,Mi...",家庭,2001,美国,爱并不需要智商 。
163,蝙蝠侠：黑暗骑士崛起,8.6,306253人评价,克里斯托弗·诺兰,"主演:,克里斯蒂安·贝尔,Christ...",惊悚,2012,美国,诺兰就是保证。
164,人工智能,8.6,196603人评价,史蒂文·斯皮尔伯格,"主演:,海利·乔·奥斯蒙,Haley...",科幻,2001,美国,对爱的执着，可以超越一切。
165,浪潮,8.7,137603人评价,丹尼斯·甘塞尔,"主演:,尤尔根·沃格尔,Jürgen,Vogel,...",惊悚,2008,德国,世界离独裁只有五天。
166,冰川时代,8.4,282439人评价,卡洛斯·沙尔丹哈,"/,克里斯·韦奇,Chris,Wedge,主演...",冒险,2002,美国,松鼠才是角儿。
167,心迷宫,8.6,171419人评价,忻钰坤,"主演:,霍卫民,Weimin,Huo,/,王笑天,Xiaotian,Wang,...",悬疑,2014,中国大陆,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
168,香水,8.4,286348人评价,汤姆·提克威,"主演:,本·卫肖,Ben,Whishaw,/,艾伦·瑞克...",奇幻,2006,德国,一个单凭体香达到高潮的男人。
169,朗读者,8.5,286297人评价,史蒂芬·戴德利,"主演:,凯特·温丝莱特,Kate,Winslet,...",爱情,2008,美国,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
170,罗生门,8.7,130146人评价,黑泽明,"主演:,三船敏郎,Toshirô,Mifune,/,千秋实,...",悬疑,1950,日本,人生的N种可能性。
171,追随,8.9,84869人评价,克里斯托弗·诺兰,"主演:,杰里米·西奥伯德,Jeremy...",惊悚,1998,英国,诺兰的牛逼来源于内心散发出的恐惧。
172,一次别离,8.7,137166人评价,阿斯哈·法哈蒂,"主演:,佩曼·莫阿迪,Peyman,Moadi,/...",家庭,2011,伊朗,只有有信仰的人才能说出事实真相。
173,撞车,8.6,179516人评价,保罗·哈吉斯,"主演:,桑德拉·布洛克,Sandra,Bullock,/,...",剧情,2004,美国,天使与魔鬼的冲撞。
174,爆裂鼓手,8.6,247804人评价,达米安·沙泽勒,"主演:,迈尔斯·特勒,Miles,Teller,/...",音乐,2014,美国,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
175,未麻的部屋,8.8,102505人评价,今敏,"主演:,岩男润子,Junko,Iwao,/,松本梨香,Rica,Matsu...",惊悚,1997,日本,好的剧本是，就算你猜到了结局也猜不到全部。
176,可可西里,8.7,133855人评价,陆川,"主演:,多布杰,Duobujie,/,张磊,Lei,Zhang,/,亓亮,Qi,L...",犯罪,2004,中国大陆,坚硬的信仰。
177,战争之王,8.5,180433人评价,安德鲁·尼科尔,"主演:,尼古拉斯·凯奇,Nicolas,Cage,/...",犯罪,2005,美国,做一颗让别人需要你的棋子。
178,地球上的星星,8.8,88600人评价,阿米尔·汗,"主演:,达席尔·萨法瑞,Darsheel,Safary,/,阿...",家庭,2007,印度,天使保护事件始末。
179,恐怖游轮,8.3,338380人评价,克里斯托弗·史密斯,"主演:,梅利莎·乔治,Melissa,...",惊悚,2009,英国,不要企图在重复中寻找已经失去的爱。
180,梦之安魂曲,8.7,115368人评价,达伦·阿伦诺夫斯基,"主演:,艾伦·伯斯汀,Ellen,Bur...",剧情,2000,美国,一场没有春天的噩梦。
181,请以你的名字呼唤我,8.8,160584人评价,卢卡·圭达尼诺,"主演:,蒂莫西·柴勒梅德,Timothée,...",同性,2017,意大利,沉醉在电影的情感和视听氛围中无法自拔。
182,达拉斯买家俱乐部,8.7,174694人评价,让-马克·瓦雷,"主演:,马修·麦康纳,Matthew,McCon...",同性,2013,美国,Jared Leto的腿比女人还美！
183,血战钢锯岭,8.7,328481人评价,梅尔·吉布森,"主演:,安德鲁·加菲尔德,Andrew,Garfield,/...",战争,2016,美国,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
184,被解救的姜戈,8.5,268115人评价,昆汀·塔伦蒂诺,"主演:,杰米·福克斯,Jamie,Foxx,/...",冒险,2012,美国,热血沸腾，那个低俗、性感的无耻混蛋又来了。
185,阿飞正传,8.5,189182人评价,王家卫,"Wong,主演:,张国荣,Leslie,Cheung,/,张曼玉,Maggie,C...",爱情,1990,香港,王家卫是一种风格，张国荣是一个代表。
186,牯岭街少年杀人事件,8.7,110830人评价,杨德昌,"主演:,张震,Chen,Chang,/,杨静怡,Lisa,Yang,/,张...",犯罪,1991,台湾,弱者送给弱者的一刀。
187,谍影重重,8.5,198216人评价,道格·里曼,"主演:,马特·达蒙,Matt,Damon,/,弗兰卡·波坦...",惊悚,2002,美国,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
188,谍影重重2,8.5,164629人评价,保罗·格林格拉斯,"主演:,马特·达蒙,Matt,Damon,/,...",惊悚,2004,美国,谁说王家卫镜头很晃？
189,魔女宅急便,8.5,201896人评价,宫崎骏,"主演:,高山南,Minami,Takayama,/,佐久间玲,Re...",冒险,1989,日本,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
190,碧海蓝天,8.7,109893人评价,Luc,"让-马克·巴尔,Jean-Marc,Barr,/,让·雷诺,Jean,Re...",爱情,1988,法国,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。
191,惊魂记,8.9,86100人评价,Alfred,"Janet,Leigh,/,Anthony,Perkins,/,Vera,Miles",恐怖,1960,美国,故事的反转与反转，分裂电影的始祖。
192,忠犬八公物语,9,62312人评价,Seijirô,"山本圭,Kei,Yamamoto,/,井川比佐志,Hisa...",剧情,1987,日本,养狗三日，便会对你终其一生。
193,再次出发之纽约遇见你,8.5,176483人评价,约翰·卡尼,"主演:,凯拉·奈特莉,Keira,Knightley,/,马克...",音乐,2013,美国,爱我就给我看你的播放列表。
195,青蛇,8.4,228710人评价,徐克,"主演:,张曼玉,Maggie,Cheung,/,王祖贤,Joey,Wang,/,...",古装,1993,香港,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
197,秒速5厘米,8.3,308489人评价,新海诚,"主演:,水桥研二,Kenji,Mizuhashi,/,近藤好美,...",爱情,2007,日本,青春就是放弃和怀念。
199,海盗电台,8.6,168666人评价,理查德·柯蒂斯,"主演:,比尔·奈伊,Bill,Nighy,/,肯尼...",音乐,2009,英国,生命不止，摇滚不死。
201,末路狂花,8.7,107999人评价,雷德利·斯科特,"主演:,吉娜·戴维斯,Geena,Davis,/,苏...",惊悚,1991,美国,没有了退路，只好飞向自由。
203,终结者2：审判日,8.6,145237人评价,詹姆斯·卡梅隆,"主演:,阿诺·施瓦辛格,Arnold,Schwarz...",科幻,1991,美国,少见的超越首部的续集，动作片中的经典。
205,勇闯夺命岛,8.5,145635人评价,迈克尔·贝,"主演:,肖恩·康纳利,Sean,Connery,/,尼古拉...",冒险,1996,美国,类型片的极致。 
207,新龙门客栈,8.5,189440人评价,李惠民,"主演:,张曼玉,Maggie,Cheung,/,林青霞,Brigitte,...",古装,1992,香港,嬉笑怒骂，调风动月。
209,黑客帝国3：矩阵革命,8.5,160646人评价,Andy,"Larry,Wachowski,主演:,Keanu,Reeves,/,Laurence,F...",科幻,2003,美国,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
211,城市之光,9.2,45621人评价,Charles,"查理·卓别林,Charles,Chaplin,/,弗吉尼亚·...",爱情,1931,美国,永远的小人物，伟大的卓别林。
213,荒野生存,8.6,130861人评价,西恩·潘,"主演:,埃米尔·赫斯基,Emile,Hirsch,/,马西娅·...",剧情,2007,美国,出门必备：本草纲目。
215,一个叫欧维的男人决定去死,8.7,122474人评价,汉内斯·赫尔姆,"主演:,罗夫·拉斯加德,Rolf,Lassgård...",剧情,2015,瑞典,惠及一生的美丽。
216,E.T. 外星人,8.5,157070人评价,Steven,"Henry,Thomas,/,Dee,Wallace,/,Robert,MacNa...",科幻,1982,美国,生病的E.T.皮肤的颜色就像柿子饼。
217,发条橙,8.4,190288人评价,Stanley,"Malcolm,McDowell,/,Patrick,Magee,/,Michael...",科幻,1971,英国,我完全康复了。
218,美国丽人,8.4,190167人评价,萨姆·门德斯,"主演:,凯文·史派西,Kevin,Spacey,/,安妮特...",家庭,1999,美国,每个人的内心都是深不可测的大海。 
219,无耻混蛋,8.4,229092人评价,Quentin,"布拉德·皮特,Brad,Pitt,/,梅拉尼·罗兰,M...",犯罪,2009,美国,昆汀同学越来越变态了，比北野武还杜琪峰。
220,初恋这件小事,8.3,474236人评价,普特鹏·普罗萨卡·那·萨克那卡林,"Na,Sakolnakorn,/,华森·波克彭...",爱情,2010,泰国,黑小鸭速效美白记。
221,黄金三镖客,9.1,52720人评价,Sergio,"Clint,Eastwood,/,Eli,Wallach,/,Lee,Van,Cleef",西部,1966,意大利,最棒的西部片。
222,英国病人,8.4,177249人评价,安东尼·明格拉,"主演:,拉尔夫·费因斯,Ralph,Fien...",战争,1996,美国,"In memory, love lives forever..."
223,你的名字。,8.4,483815人评价,新海诚,"主演:,神木隆之介,Ryûnosuke,Kamiki,/,上...",动画,2016,日本,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
224,燕尾蝶,8.6,109594人评价,岩井俊二,"主演:,恰拉,Chara,/,伊藤步,Ayumi,Ito,/,三上...",剧情,1996,日本,现实与童话交相辉映的旅程。
225,爱在午夜降临前,8.8,119757人评价,理查德·林克莱特,"主演:,伊桑·霍克,Ethan,Hawke,...",爱情,2013,美国,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
226,非常嫌疑犯,8.6,119264人评价,布莱恩·辛格,"主演:,史蒂芬·鲍德温,Stephen,Baldwin,/...",惊悚,1995,德国,我不信仰上帝，但我敬畏上帝。
227,叫我第一名,8.6,111214人评价,彼得·维纳,"主演:,詹姆斯·沃克,James,Wolk,/,特里特·...",传记,2008,美国,乐观比一切都有力量。
228,无人知晓,9,57880人评价,是枝裕和,"主演:,柳乐优弥,Yûya,Yagira,/,北浦爱...",剧情,2004,日本,我的平常生活就是他人的幸福。
229,穆赫兰道,8.3,240430人评价,大卫·林奇,"主演:,娜奥米·沃茨,Naomi,Watts,/,劳拉·哈...",惊悚,2001,法国,大卫·林奇的梦境迷宫。
230,勇士,8.9,89375人评价,加文·欧康诺,"主演:,汤姆·哈迪,Tom,Hardy,/,乔尔·...",家庭,2011,美国,热血沸腾，相当完美的娱乐拳击大餐。
231,疯狂的石头,8.3,323591人评价,宁浩,"主演:,郭涛,Tao,Guo,/,刘桦,Hua,Liu,/,连晋,Teddy,Lin",犯罪,2006,中国大陆,中国版《两杆大烟枪》。
232,无敌破坏王,8.6,188747人评价,瑞奇·莫尔,"主演:,约翰·C·赖利,John,C.,Reilly,/,萨拉...",冒险,2012,美国,迪士尼和皮克斯拿错剧本的产物。
233,国王的演讲,8.3,348511人评价,汤姆·霍珀,"主演:,柯林·菲尔斯,Colin,Firth,/,杰弗里·...",历史,2010,英国,皇上无话儿。
234,上帝也疯狂,8.6,98160人评价,Jamie,"Marius,Weyers,/,Sandra,Prinsloo,/,N!xau",喜剧,1980,博茨瓦纳,纯净原始的笑与感动。
235,血钻,8.5,135706人评价,爱德华·兹威克,"主演:,莱昂纳多·迪卡普里奥,Leonardo,...",冒险,2006,美国,每个美丽事物背后都是滴血的现实。
236,步履不停,8.8,75000人评价,是枝裕和,"主演:,阿部宽,Hiroshi,Abe,/,夏川结衣,Yu...",家庭,2008,日本,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
237,小萝莉的猴神大叔,8.6,130497人评价,卡比尔·汗,"主演:,萨尔曼·汗,Salman,Khan,/,哈莎莉·马...",动作,2015,印度,
238,彗星来的那一夜,8.4,182938人评价,詹姆斯·沃德·布柯特,"Byrkit,主演:,艾米丽·芭尔多尼,Em...",惊悚,2013,美国,小成本大魅力。
239,枪火,8.6,102032人评价,杜琪峰,"主演:,吴镇宇,Francis,Ng,/,任达华,Simon,Yam,/,...",犯罪,1999,香港,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。
240,蓝色大门,8.3,276767人评价,易智言,"主演:,陈柏霖,Bo-lin,Chen,/,桂纶镁,Lunmei,Kwa...",同性,2002,台湾,青春的窃窃私语。 
241,大卫·戈尔的一生,8.6,95542人评价,Alan,"凯文·史派西,Kevin,Spacey,/,凯特·温丝莱特,Kat...",悬疑,2003,美国,捍卫人权只是信仰，一点不妨碍其行为的残忍。
242,遗愿清单,8.5,131931人评价,罗伯·莱纳,"主演:,杰克·尼科尔森,Jack,Nicholson,/,摩根...",剧情,2007,美国,用剩余不多的时间，去燃烧整个生命。
243,我爱你,9,58923人评价,秋昌民,"主演:,宋在河,Jae-ho,Song,/,李顺载,Soon-jae...",爱情,2011,韩国,你要相信，这世上真的有爱存在，不管在什么年纪 
244,爱·回家,9,48313人评价,李廷香,"主演:,金艺芬,Eul-boon,Kim,/,俞承豪,Seung-...",家庭,2002,韩国,献给所有外婆的电影。
245,千钧一发,8.7,88116人评价,安德鲁·尼科尔,"主演:,伊桑·霍克,Ethan,Hawke,/,乌玛...",科幻,1997,美国,一部能引人思考的科幻励志片。
246,荒岛余生,8.5,137422人评价,罗伯特·泽米吉斯,"主演:,汤姆·汉克斯,Tom,Hanks,/,...",剧情,2000,美国,一个人的独角戏。
247,麦兜故事,8.5,130420人评价,袁建滔,"主演:,李晋纬,/,林海峰,Jan,Lamb,/,吴君如,Sandra,Ng",动画,2001,香港,麦兜是一只很哲学的猪。 
248,黑鹰坠落,8.5,117099人评价,雷德利·斯科特,"主演:,乔什·哈奈特,Josh,Hartnett,/,...",战争,2001,美国,还原真实而残酷的战争。
249,美丽心灵的永恒阳光,8.4,147387人评价,米歇尔·冈瑞,"主演:,金·凯瑞,Jim,Carrey,/,凯特·温...",奇幻,2004,美国,恋爱是一次神经的冒险。就算失去记忆，也会爱上你。
250,月球,8.5,146933人评价,邓肯·琼斯,"主演:,山姆·洛克威尔,Sam,Rockwell,/,凯文...",悬疑,2009,英国,2009媲美《第九区》的又一部科幻神作。
